protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count
tcp,ftp_data,SF,7045.0,0.0,2.0,2.0
tcp,ftp_data,SF,832.0,0.0,1.0,1.0
tcp,http,RSTR,60884.0,0.0,86.0,86.0
tcp,http,RSTR,75484.0,0.0,57.0,57.0
tcp,ftp,SF,1231.0,2451.0,1.0,1.0
tcp,ftp_data,SF,12.0,0.0,2.0,2.0
tcp,http,S0,0.0,0.0,98.0,98.0
tcp,telnet,RSTO,0.0,12.0,4.0,24.0
tcp,telnet,SF,0.0,15.0,1.0,1.0
tcp,http,RSTR,72564.0,0.0,13.0,13.0
tcp,http,RSTR,72564.0,0.0,13.0,13.0
tcp,http,RSTR,61504.0,0.0,36.0,36.0
tcp,imap4,REJ,0.0,0.0,2.0,7.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,pop_3,RSTO,0.0,36.0,4.0,3.0
tcp,http,S0,0.0,0.0,107.0,107.0
tcp,telnet,SF,24.0,574.0,3.0,6.0
tcp,pop_3,RSTO,0.0,36.0,3.0,7.0
tcp,http,S0,0.0,0.0,79.0,79.0
tcp,X11,SF,6.0,0.0,8.0,1.0
icmp,eco_i,SF,40008.0,0.0,3.0,3.0
tcp,pop_3,REJ,0.0,0.0,2.0,8.0
tcp,http,RSTR,55744.0,1.0,47.0,47.0
tcp,other,REJ,0.0,0.0,460.0,1.0
tcp,http,RSTR,56504.0,0.0,83.0,83.0
tcp,ftp,SF,166.0,601.0,1.0,1.0
tcp,private,REJ,0.0,0.0,274.0,12.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,systat,REJ,0.0,0.0,115.0,6.0
tcp,private,S0,0.0,0.0,132.0,18.0
tcp,imap4,RSTO,0.0,44.0,2.0,6.0
tcp,http,RSTR,58624.0,0.0,24.0,24.0
icmp,ecr_i,SF,8.0,0.0,1.0,1.0
tcp,http,S0,0.0,0.0,112.0,112.0
tcp,http,RSTR,68704.0,0.0,28.0,28.0
tcp,http,RSTR,33144.0,0.0,75.0,75.0
tcp,pop_3,RSTO,0.0,36.0,3.0,6.0
tcp,telnet,REJ,0.0,0.0,4.0,6.0
tcp,http,RSTR,56504.0,0.0,11.0,11.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
icmp,eco_i,SF,40008.0,0.0,3.0,3.0
tcp,http,RSTR,56504.0,0.0,10.0,10.0
tcp,imap4,RSTO,0.0,44.0,2.0,4.0
tcp,http,RSTR,72564.0,0.0,9.0,9.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,sunrpc,REJ,0.0,0.0,4.0,10.0
tcp,ftp,SF,1020.0,2201.0,1.0,1.0
tcp,private,REJ,0.0,0.0,230.0,4.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,other,REJ,0.0,0.0,2.0,1.0
tcp,imap4,S0,0.0,0.0,1.0,3.0
tcp,http,RSTR,56504.0,0.0,71.0,71.0
tcp,telnet,S3,1.0,15.0,1.0,1.0
tcp,ftp,SF,1242.0,2451.0,1.0,1.0
icmp,eco_i,SF,20.0,0.0,1.0,55.0
tcp,ftp_data,SF,283618.0,0.0,1.0,1.0
tcp,http,SF,54540.0,8314.0,4.0,4.0
tcp,pop_3,SF,0.0,0.0,3.0,19.0
icmp,eco_i,SF,20.0,0.0,1.0,61.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,http,RSTR,61504.0,0.0,33.0,33.0
tcp,imap4,REJ,0.0,0.0,2.0,11.0
tcp,private,S0,0.0,0.0,270.0,14.0
tcp,http,RSTR,59424.0,0.0,23.0,23.0
tcp,ftp,SF,160.0,597.0,1.0,1.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,imap4,REJ,0.0,0.0,2.0,3.0
tcp,sunrpc,REJ,0.0,0.0,4.0,7.0
tcp,pop_3,RSTO,0.0,36.0,3.0,9.0
tcp,ftp_data,SF,283618.0,0.0,1.0,1.0
tcp,telnet,S0,0.0,0.0,1.0,3.0
tcp,http,RSTR,61504.0,1.0,30.0,30.0
tcp,imap4,RSTO,0.0,44.0,2.0,1.0
tcp,pop_3,RSTO,0.0,36.0,4.0,3.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,ftp,SF,1276.0,2451.0,1.0,1.0
tcp,ftp,SF,1209.0,2449.0,1.0,1.0
tcp,link,REJ,0.0,0.0,243.0,9.0
tcp,ftp,SF,158.0,595.0,1.0,1.0
udp,domain_u,SF,6.0,6.0,3.0,8.0
icmp,eco_i,SF,20.0,0.0,1.0,51.0
icmp,eco_i,SF,20.0,0.0,1.0,62.0
tcp,ftp_data,SF,283618.0,0.0,1.0,2.0
tcp,sunrpc,REJ,0.0,0.0,5.0,4.0
tcp,http,RSTR,57964.0,0.0,88.0,88.0
tcp,ftp,SF,1153.0,2445.0,1.0,1.0
tcp,pm_dump,SF,44.0,192.0,5.0,1.0
tcp,private,REJ,0.0,0.0,23.0,3.0
tcp,imap4,RSTO,0.0,44.0,2.0,1.0
tcp,private,S0,0.0,0.0,129.0,8.0
tcp,ftp_data,SF,832.0,0.0,1.0,1.0
tcp,pop_3,RSTO,0.0,36.0,3.0,5.0
tcp,ftp,SF,1234.0,2451.0,1.0,1.0
tcp,telnet,S0,0.0,0.0,42.0,42.0
tcp,ftp,SF,1241.0,2449.0,1.0,1.0
tcp,ftp,SF,1256.0,2452.0,2.0,1.0
tcp,http,RSTR,57964.0,0.0,38.0,38.0
tcp,ftp_data,SF,12.0,0.0,2.0,2.0
tcp,other,REJ,0.0,0.0,509.0,1.0
tcp,http,RSTR,25844.0,0.0,84.0,84.0
tcp,private,S0,0.0,0.0,122.0,14.0
tcp,http,RSTR,62344.0,1.0,41.0,41.0
tcp,http,RSTR,57964.0,0.0,56.0,56.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,telnet,S1,0.0,0.0,4.0,19.0
tcp,imap4,RSTO,0.0,44.0,3.0,2.0
tcp,finger,S0,0.0,0.0,1.0,2.0
tcp,private,REJ,0.0,0.0,237.0,7.0
tcp,http,S0,0.0,0.0,68.0,68.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,pop_3,RSTO,0.0,36.0,3.0,1.0
tcp,http,RSTR,74024.0,0.0,21.0,21.0
tcp,telnet,SF,504.0,27200.0,1.0,1.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,ftp,SF,162.0,597.0,1.0,1.0
tcp,other,REJ,0.0,0.0,2.0,1.0
tcp,http,RSTR,62344.0,0.0,89.0,89.0
icmp,eco_i,SF,20.0,0.0,1.0,51.0
tcp,pop_3,RSTO,0.0,36.0,3.0,6.0
tcp,ftp,SF,980.0,2191.0,1.0,1.0
tcp,other,REJ,0.0,0.0,2.0,1.0
tcp,http,S0,0.0,0.0,93.0,93.0
tcp,pop_3,RSTO,0.0,36.0,3.0,4.0
tcp,http,S0,0.0,0.0,76.0,76.0
tcp,pop_3,RSTO,0.0,36.0,3.0,2.0
tcp,http,RSTR,72564.0,0.0,10.0,10.0
tcp,sunrpc,REJ,0.0,0.0,4.0,1.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,http,RSTR,55744.0,0.0,30.0,30.0
