protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,Predicted_Label
protocol_type,service,flag,0.0,0.0,0.0,0.0,labels
tcp,other,RSTR,1.0,0.0,2.0,2.0,portsweep
tcp,private,S0,0.0,0.0,208.0,9.0,neptune
tcp,http,S0,0.0,0.0,7.0,4.0,neptune
icmp,ecr_i,SF,1032.0,0.0,153.0,153.0,smurf
udp,private,SF,1.0,0.0,1.0,1.0,satan
tcp,mtp,REJ,0.0,0.0,236.0,6.0,neptune
tcp,netstat,RSTR,0.0,0.0,1.0,1.0,portsweep
tcp,private,S0,0.0,0.0,14.0,6.0,neptune
tcp,private,S0,0.0,0.0,291.0,5.0,neptune
tcp,http_443,S0,0.0,0.0,114.0,20.0,neptune
tcp,private,S0,0.0,0.0,165.0,5.0,neptune
tcp,private,REJ,0.0,0.0,228.0,14.0,neptune
tcp,private,S0,0.0,0.0,91.0,20.0,neptune
tcp,uucp_path,S0,0.0,0.0,231.0,15.0,neptune
tcp,private,S0,0.0,0.0,220.0,10.0,neptune
tcp,private,REJ,0.0,0.0,102.0,3.0,neptune
tcp,mtp,S0,0.0,0.0,215.0,19.0,neptune
tcp,imap4,S0,0.0,0.0,141.0,8.0,neptune
udp,private,SF,28.0,0.0,96.0,96.0,teardrop
tcp,private,RSTR,0.0,0.0,391.0,2.0,portsweep
tcp,http_443,S0,0.0,0.0,258.0,14.0,neptune
icmp,ecr_i,SF,1032.0,0.0,121.0,121.0,smurf
tcp,ldap,REJ,0.0,0.0,101.0,1.0,neptune
tcp,Z39_50,S0,0.0,0.0,283.0,18.0,neptune
tcp,discard,S0,0.0,0.0,214.0,5.0,neptune
tcp,csnet_ns,REJ,0.0,0.0,257.0,2.0,neptune
tcp,private,S0,0.0,0.0,185.0,5.0,neptune
icmp,ecr_i,SF,1032.0,0.0,51.0,51.0,smurf
udp,private,SF,1.0,0.0,121.0,101.0,satan
icmp,eco_i,SF,8.0,0.0,1.0,27.0,ipsweep
udp,private,SF,1.0,0.0,134.0,9.0,satan
tcp,private,S0,0.0,0.0,115.0,3.0,neptune
tcp,ftp_data,SF,7045.0,0.0,2.0,2.0,unknown
tcp,klogin,REJ,0.0,0.0,126.0,19.0,neptune
tcp,courier,REJ,0.0,0.0,133.0,4.0,neptune
tcp,ldap,REJ,0.0,0.0,147.0,17.0,neptune
udp,private,SF,1.0,4.0,20.0,3.0,satan
udp,private,SF,100.0,0.0,2.0,2.0,nmap
icmp,eco_i,SF,8.0,0.0,1.0,15.0,nmap
tcp,private,S0,0.0,0.0,291.0,16.0,neptune
tcp,private,S0,0.0,0.0,138.0,10.0,neptune
tcp,ftp_data,SF,832.0,0.0,1.0,1.0,unknown
tcp,private,S0,0.0,0.0,220.0,6.0,neptune
tcp,other,RSTR,1.0,0.0,2.0,2.0,portsweep
tcp,auth,S0,0.0,0.0,286.0,17.0,neptune
tcp,private,S0,0.0,0.0,23.0,6.0,neptune
tcp,private,S0,0.0,0.0,110.0,4.0,neptune
tcp,csnet_ns,S0,0.0,0.0,247.0,6.0,neptune
tcp,http_443,S0,0.0,0.0,94.0,16.0,neptune
icmp,ecr_i,SF,520.0,0.0,458.0,458.0,smurf
tcp,systat,REJ,0.0,0.0,204.0,13.0,neptune
tcp,supdup,S0,0.0,0.0,268.0,3.0,neptune
tcp,private,SH,0.0,0.0,1.0,1.0,nmap
tcp,http,SF,54540.0,8314.0,5.0,5.0,back
tcp,iso_tsap,S0,0.0,0.0,260.0,8.0,neptune
tcp,ftp_data,S0,0.0,0.0,233.0,7.0,neptune
tcp,private,S0,0.0,0.0,118.0,19.0,neptune
tcp,ssh,S0,0.0,0.0,266.0,17.0,neptune
tcp,iso_tsap,S0,0.0,0.0,209.0,10.0,neptune
tcp,private,S0,0.0,0.0,272.0,1.0,neptune
tcp,private,REJ,0.0,0.0,190.0,1.0,neptune
icmp,ecr_i,SF,1480.0,0.0,2.0,4.0,pod
tcp,ftp,RSTO,0.0,0.0,276.0,9.0,neptune
tcp,telnet,S0,0.0,0.0,28.0,8.0,neptune
tcp,private,S0,0.0,0.0,141.0,6.0,neptune
tcp,private,REJ,0.0,0.0,219.0,13.0,neptune
icmp,eco_i,SF,20.0,0.0,2.0,2.0,satan
tcp,finger,RSTO,0.0,0.0,243.0,17.0,neptune
tcp,klogin,S0,0.0,0.0,41.0,3.0,neptune
tcp,http,SF,54540.0,8314.0,2.0,3.0,back
tcp,other,REJ,0.0,0.0,509.0,1.0,satan
icmp,eco_i,SF,8.0,0.0,1.0,40.0,nmap
tcp,private,REJ,0.0,0.0,86.0,11.0,neptune
tcp,private,REJ,0.0,0.0,283.0,1.0,satan
tcp,ftp_data,REJ,0.0,0.0,141.0,11.0,neptune
tcp,exec,RSTO,0.0,0.0,112.0,4.0,neptune
tcp,ftp,S0,0.0,0.0,253.0,9.0,neptune
tcp,netbios_ssn,S0,0.0,0.0,50.0,17.0,neptune
tcp,http,RSTR,60884.0,0.0,86.0,86.0,unknown
tcp,private,REJ,0.0,0.0,208.0,15.0,neptune
tcp,whois,S0,0.0,0.0,203.0,2.0,neptune
tcp,private,S0,0.0,0.0,62.0,18.0,neptune
tcp,private,S0,0.0,0.0,187.0,16.0,neptune
tcp,finger,S0,0.0,0.0,17.0,8.0,neptune
tcp,courier,S0,0.0,0.0,106.0,11.0,neptune
tcp,private,REJ,0.0,0.0,1.0,1.0,ipsweep
tcp,finger,S0,0.0,0.0,9.0,5.0,neptune
tcp,private,S0,0.0,0.0,208.0,11.0,neptune
tcp,http,REJ,0.0,0.0,212.0,6.0,neptune
tcp,courier,REJ,0.0,0.0,113.0,11.0,neptune
tcp,netbios_ns,S0,0.0,0.0,282.0,12.0,neptune
tcp,domain,S0,0.0,0.0,243.0,13.0,neptune
tcp,private,S0,0.0,0.0,151.0,12.0,neptune
tcp,http,RSTR,75484.0,0.0,57.0,57.0,unknown
tcp,private,S0,0.0,0.0,238.0,4.0,neptune
tcp,courier,S0,0.0,0.0,123.0,21.0,neptune
tcp,uucp_path,REJ,0.0,0.0,112.0,8.0,neptune
tcp,private,S0,0.0,0.0,174.0,5.0,neptune
tcp,private,REJ,0.0,0.0,266.0,1.0,satan
tcp,ftp,SF,1231.0,2451.0,1.0,1.0,unknown
icmp,eco_i,SF,18.0,0.0,1.0,1.0,ipsweep
tcp,finger,RSTO,0.0,0.0,277.0,10.0,neptune
tcp,private,REJ,0.0,0.0,275.0,12.0,neptune
tcp,telnet,S0,0.0,0.0,279.0,8.0,neptune
